item_name,item_price,free_shipping,shoe_size,number_of_images,seller_rating,adult_shoe,youth_shoe,child_shoe,item_url
men size social status nike dunk mid free lunch chocolate milk dj,$230.00,False,7,12,37,True,False,False,https://www.ebay.com/itm/313680706977?_trkparms=ispr%3D1&hash=item4908d3bda1%3Ag%3A1LMAAOSwBK1hR-j%7E&amdata=enc%3AAQAGAAACsPYe5NmHp%252B2JMhMi7yxGiTJkPrKr5t53CooMSQt2orsSB0Xm7k0guzAysaIMfJcbBAPWmVKumFvUMlyLHygZqY5dFoGsRdB%252BB9hKOmL%252Ffxu9Qk5dVzsySKPSJj9r96DbcA6cq4j6CZn1TCr2%252BxCI9NbBrVd%252B3VNb8U3rZdjHeNg885VEoCpbljATK95KbgfVs%252F7LFFKf%252Fv954EAulOtCl78r%252FaPCObQOcweB%252BR%252B8DrFXx2T51F9YLA4IYFPa1y4NZjJ%252FlCmEhnr6vMJ16OX5lXsl6Z9a2BPqtwbDUyl%252FwDvLV%252BltuZUjzegdaNjVWB08iAnxo0gBN%252B%252BGEaTylGZfGWlICUlVBIdWl23IcDzFPUdm%252BFkEPKpEbLkRu2Cr%252FvD6bcptwtL0ObVgg0MN7F6Cgdu9%252BJJZ%252B8LY%252BXW%252BXFnbBVrug5nwblFvLdty1eXwR0LHP%252B4T3ip%252BvT1G91P30VVG72SY7aPT4uhejBTQlRDAKED3hwlySwuq%252B7051G0ZOo9TGXE8Kc0isvJO1f%252BMQrHzecRDV8rZ%252BFh8IPcHASmJAHozbq4vcJmtBFlM0qGdEyXsrgm%252B1tyFby%252FOtLFFlDDny9LNmwOxMAveRDBBQxlkVzYR2UZoPQj23PqaRid9LC5zZ4h1Gd5j58oGBinZhZZFbnLXv0dJ214wAktEXxnxNFl7niRyRvdRuMRxd95hPD5BveviTiIonSM67adiXoYjFDLh5dveMiA7%252BK37vrRON0ptycht%252BsZGCScTwSHs6CAve5%252BcWjFMkEpRf%252F6bQTi1mdwOC6Vn7BjA%252B53Lu3aZtU%252BwIaijSGf0HtmhUtiv2ya%252F9eXfruh25yGGazKosGa0k0RJRu0BpAOsPaPjKPa%252BPKDo2p4tweNfP47vBjMbA1Ok3oc3pNojgElFIBWWcyTLyZc%253D%7Cclp%3A2334524%7Ctkp%3ABFBMhMaP5ppf&LH_ItemCondition=1000
social status nike dunk mid chocolate milk size men,$290.00,False,5.5,10,35,True,False,False,https://www.ebay.com/itm/144218036157?epid=26050264777&_trkparms=ispr%3D1&hash=item21941097bd%3Ag%3AergAAOSwywlhT1YE&amdata=enc%3AAQAGAAACsPYe5NmHp%252B2JMhMi7yxGiTJkPrKr5t53CooMSQt2orsS9d9gBrkNbRQtRn8MVXnYkjE7QXXjp2i07SMzTk%252BfUXfGL%252BC%252BjrIHda3sbXkYIumQXZ4GPfMWMX%252Fu%252BSD6z%252BA6O5O8uhMFq5WS0v213f2pyi4uj4rwUU3S7TBD0A8ATLLWiZNJRK5LgFZ5Y2qg1ucDXidt1plH0l9ECBaN2XRZlv24WR1afG6WRyay4BYH9YypjBoN%252Bf4eRQlFywh5VoLtzn%252ByIuXB8rOR9VVBgPwv8dP%252BaRcMzmaPohw%252BSQYo%252BZ41VuOliYSOg4%252F6Jhvu9fUXsig2BSV0EM4UgIzZZiKjt8q%252F5Z%252B%252F%252FS5SdvqloDqpdmY9lOIATDQhHfnCAil1%252BJwRL%252FeAZG6l78J2HTuNrSbLNs4jkuFUVkSA4%252Bon%252BEhzh5F57L3Hbgi39Lf3%252F8gk2auMlJX0xPwvWYWDKofqMTrD8UwcatXc5tWAVYEDLW9nmRBEQSTTHLoFjILOyIhbrcHLEwrjPp1YtZGZkmYb0%252Fg%252FCive6gCrzTWGm9FneUXWOFfOyYdR4YkUfCzuqcaeDLOuEn7OcIys8W7%252B7UCnFG5PsLcGux%252BwJf3DKQ3LOwR1jFwMd%252FeR3Vc2GkE7xhXrfhXNqK183gpCwxH0MBNggma5lDHQaKLHW0pDMXfg0gPvf9PnJxvRWLmCR5lp05JNQ%252BTY1umNArT1GNPesz19C%252BwOwyT7gFTzokh8%252BwKVHflpr5skZPOQQBipVYVkpcqRREucu75VEDJpfHGZJ2MXdrpOHE7w%252FYe3RTD9T85AE5Ux%252BcghW%252B0XFDP%252FXiX5GQQRxK2JMOoA9BPgJlGb62WSCY4oiTda1Z2WcDJqX0rUQIxQXCdgq7vyIIVHqUzuf%252BNekjK7Z%252F6V%252BZ1%252B3ZU%252F7TWF3jjXszM%253D%7Cclp%3A2334524%7Ctkp%3ABFBMhMaP5ppf&LH_ItemCondition=1000
nike dunk social status chocolate milk size,$240.00,False,10.5,3,157,True,False,False,https://www.ebay.com/itm/255202283420?hash=item3b6b3dcf9c%3Ag%3A2kcAAOSwuHJhfJY9&LH_ItemCondition=1000
nike social status dunk mid free lunch chocolate milk size dj,$280.00,True,5.5,9,11680,True,False,False,https://www.ebay.com/itm/115061255403?epid=26050264777&hash=item1aca2f6ceb%3Ag%3A5lkAAOSw1pJhdP52&LH_ItemCondition=1000
social status nike free lunch dunk chocolate milk sz dj ds,$280.00,False,13,5,636,True,False,False,https://www.ebay.com/itm/154668163370?epid=14050253750&hash=item2402f0e12a%3Ag%3A0igAAOSwFzdhb1aa&LH_ItemCondition=1000
nike dunk mid social status chocolate milk new size men,$200.00,False,7,5,21,True,False,False,https://www.ebay.com/itm/115071950682?epid=20050257650&hash=item1acad29f5a%3Ag%3AFGUAAOSwJrxhfbL6&LH_ItemCondition=1000
size nike dunk low ps chocolate milk social status nike free lunch,$140.00,False,3,8,1,True,False,False,https://www.ebay.com/itm/353749126167?hash=item525d174c17%3Ag%3AyGgAAOSwON1hfJ7t&LH_ItemCondition=1000
nike dunk mid social status chocolate milk size,$215.00,True,6.5,3,265,True,False,False,https://www.ebay.com/itm/154676941697?hash=item240376d381%3Ag%3ALPgAAOSw5A1hfaaC&LH_ItemCondition=1000
nike dunk social status free lunch chocolate milk dj size,$250.00,True,8,5,20,True,False,False,https://www.ebay.com/itm/275006743480?epid=11050250164&hash=item4007ade3b8%3Ag%3AodMAAOSwAzVhfDUr&LH_ItemCondition=1000
nike dunk mid social status free lunch chocolate milk strawberry milk,$499.99,True,9.5,1,183,True,False,False,https://www.ebay.com/itm/115070796834?epid=5050263488&hash=item1acac10422%3Ag%3ATXwAAOSwtethfOXU&LH_ItemCondition=1000
social status dunk chocolate milk,$250.00,False,5.5,5,0,True,False,False,https://www.ebay.com/itm/304204691888?hash=item46d40339b0%3Ag%3AR5sAAOSw4ORhfAyo&LH_ItemCondition=1000
nike dunk mid social status free lunch chocolate milk,$260.00,False,12,5,69,True,False,False,https://www.ebay.com/itm/275000604843?epid=6050266072&hash=item40075038ab%3Ag%3A6jsAAOSwM3Zhdsq5&LH_ItemCondition=1000
social status nike dunk free lunch chocolate milk dm td ds br new,$145.00,True,9,8,231,False,False,True,https://www.ebay.com/itm/115011495565?_trkparms=ispr%3D1&hash=item1ac738268d%3Ag%3ASGwAAOSwKV1hUBfe&amdata=enc%3AAQAGAAACsPYe5NmHp%252B2JMhMi7yxGiTJkPrKr5t53CooMSQt2orsSR84A%252FGMxXIqJzFmDq6lDLqhZitX7SDUaihqqjfA92g70cImVrpAgWKW6AQgWynN5bovCl9IzZf0HzW0yGCCBXyNXWtAJqzlw2wRJ91mQ8PtffYeY4YNKsxVEGBTvMQqUCtwZyaIv9w16j0w7SniEzZoRfz3HTGcHzkWcHQltgPs%252B2NkTjwVTsowQEazeKnPZTAbUVQMnbh1kARO%252FW77IjnPDDQmEdUm8%252F2dgqmxpkXRtMj9qlb9sv4Dz8yJtNzvkxiXSxMNvLB158D6qQ4jf563pA83BHFhgtI1QOpJjZhMSkXT78gCtOn1DlJtDns8MNpIfhSAs8qbHpHJmfsSqXVS1FvEyPvDQU6XgKY2j3M4aquKs8CFlYipaJ7tjl%252BIX4YnnjdKS3wg6nacpX6KUhlbsi2XWY5KlOXQ3vJ5FJmwAViZUG%252FO5LeVJTU5Wd%252FxQRu22Mt3MWaDG7tssp6vBdvkzjt%252Bcb9U2lAWduZm3B2HyDfsx5fKDcRCYOgKyiqk%252BOTZpsXkB0DC7bK91RbsGM5hte%252FTliGFBJpoYSU5PEjvEDAd0l5RFAKXOBQAHLxxAdCPxPp3zGdQAtQl9UQ57Bw6y2e092D2dVQBDGy8tMw5TpOLO83a56ZrRGbJ%252B90DPQpFAVm5D3O5%252FdKRLo3tx4g8El3cyqihzlXFFmGOwNBrcPF%252BFhrRT7FuzmoA1d%252BivEEk6xOFZWhbByjnw7eKNno8jpMG4yIv8M5TAQ94WIGuX0lqY2gWKUfiqrQgqdhcmZhohDz5QY1RdDe76T3KOIa9CZxPMfEFURyLPEii07Iq7Tq7%252BGFWKoX%252BrV6yyxEokmMmtAEdAlD7Nm2CteUQGL9WB%252Bvk5RiUXIeWcWSJKBv8%253D%7Cclp%3A2334524%7Ctkp%3ABFBMhMaP5ppf&LH_ItemCondition=1000
