item_name,item_price,free_shipping,shoe_size,number_of_images,seller_rating,item_url
Men's Size 7 - Social Status Nike Dunk Mid Free Lunch Chocolate Milk DJ1173-700,$230.00,FALSE,7,12,37,https://www.ebay.com/itm/313680706977?_trkparms=ispr%3D1&hash=item4908d3bda1%3Ag%3A1LMAAOSwBK1hR-j%7E&amdata=enc%3AAQAGAAACsPYe5NmHp%252B2JMhMi7yxGiTJkPrKr5t53CooMSQt2orsSB0Xm7k0guzAysaIMfJcbBAPWmVKumFvUMlyLHygZqY5dFoGsRdB%252BB9hKOmL%252Ffxu9Qk5dVzsySKPSJj9r96DbcA6cq4j6CZn1TCr2%252BxCI9NbBrVd%252B3VNb8U3rZdjHeNg885VEoCpbljATK95KbgfVs%252F7LFFKf%252Fv954EAulOtCl78r%252FaPCObQOcweB%252BR%252B8DrFXx2T51F9YLA4IYFPa1y4NZjJ%252FlCmEhnr6vMJ16OX5lXsl6Z9a2BPqtwbDUyl%252FwDvLV%252BltuZUjzegdaNjVWB08iAnxo0gBN%252B%252BGEaTylGZfGWlICUlVBIdWl23IcDzFPUdmsMh83HsSsgIQOZqYgp4OLlbMqelqninjx%252Fiq8E%252BlH8ZsFw%252Fj9cwt7HJ67q9IOkAkdymhMtF%252FLPx2Ia19O0jNj24mjtmTA%252BcUpJQlZcsP0%252FBimHzZyooXi2q4CcMgdUqQEAUFlC27BLDkkfdsxmhM89E5ESrS1yr9YRZaUrf6i2RmpbG%252BHCY4YrB%252BLV%252Bs068U%252F%252BPr5me9qvrZskIZ%252FvZxFELIZ6rQCBoIBi7QjB7znFlJ0hCa3uan%252FfLLOASZ8sqK3OiRf1deZ%252BX2sumero5lsCrTtklozGdQzZ%252BWs9svaxos32L9Yg5gjVE%252F1mxQmrEuZXUmfH8G7oH0CXhQ5%252BtwEBxctpmaCTBeRPLFSjZHcAHzH46x9l9b63NtEMTulKpBmuzmAiIZFma7RHy9UP2tN7ckVdgcNMNssKhZZFZMuII%252B%252BG0hl6kcyl0vcvQTk%252B6Ky%252FRzHtwo5lmTkM0TMp7tkKQLsakWQv4dIVUFBbBFpOSy8WE40fk8aN%252Bt5lTraEjQR4ysurdQPK3XOu1qqvYnc0zbYSl42%252BDaBKSVyGnhOYc%253D%7Cclp%3A2334524%7Ctkp%3ABFBM0I31-Zhf&LH_ItemCondition=1000
Men's Size 7 - Social Status Nike Dunk Mid Free Lunch Chocolate Milk DJ1173-700,$207.00,FALSE,7,10,4,https://www.ebay.com/itm/324853140586?epid=20050257650&_trkparms=ispr%3D1&hash=item4ba2c18c6a%3Ag%3AFvEAAOSw8gNheebz&amdata=enc%3AAQAGAAACsPYe5NmHp%252B2JMhMi7yxGiTJkPrKr5t53CooMSQt2orsSvhAqMt0wg86xg8aAkgjQJPQ0x5IJPd%252Fqi874y5gHcOGROyLJHgdwjsq3FbWtfZXW5iz63aeVIOzk%252FR47mynJh6Sn1GN0w0MQQraPTKcLMSw6sbt8RkgUWKeHH4YKgZAN9a1hB6qftzsRCPoUfZYbi1UkajYenYmG3f1smdsB2O8n3wwR70KFqKXQY8jwMjgSQZ%252FyEf%252F4orOToohtwugGbgUyCmCMatLAgqpXFzxI96lPvCXKa6BgWKuq0WTubPeCJUYwb1l4IjmWGFJIr7t5qIwtZ7Sa84P8uD63q%252Fvz8LqXsxpN4vOae%252FNNJCtQ107ARlvDf6CcHoWAroTP%252Fjw%252BJN9hdhQx3%252FaYecknoUfs6j7BwCRadhtWn%252FWEhtRJQWi3SFQ3NSamLYdt%252BbVlXh3TXHe8Hht%252BRdsDs6mh5lz3JyL4MgL0tJC%252FNTlvXlnZPCCQMqMp1FrxMkzRoA4Z3aYkqSel3%252BVMO9eaYq3VNG%252BXCW7KAGrXqC6z2PIqV3P6%252B4auhLqRm4Q1YWpniEwx%252FHVlGJAhYF07S1UlM25S%252B5mlx%252BsTULka9KO%252BzRgIeY1xZ5GNcAl6wdhvm%252BELMxpXEo%252FXfypaFWgofShru8i9pt1G2dnK3glXNreUeMHaYMZXJ28ICBhB1r7eaV%252FvlOZbXqDincd7AhzIDnrdVUbJa62I8Wwtpk20eiLUWAvlAie7nPEZ8HrL8MjPhJ47a4dl81CUklIfGsuqAEMI59R4FTNeHIdvvzBRuXfQphlAUGHIHQWxUcQo2kyybJTRIXC0wwDpJakiVeTly%252FFktWfnrk6fqtDC7h%252Fy%252BILn0TUkhjjlwoT5V64h7u5GwNLBc7WP9JtXvQ4890PzLG6eVS3sgUqiUJw%253D%7Cclp%3A2334524%7Ctkp%3ABFBM0I31-Zhf&LH_ItemCondition=1000
Nike Dunk Mid Social Status Free Lunch Chocolate Milk Size 9.5,$230.00,TRUE,9.5,9,177,https://www.ebay.com/itm/284505738702?hash=item423ddd0dce%3Ag%3ArrIAAOSwK9VhRidT&LH_ItemCondition=1000
Social Status x Nike Dunk Free Lunch Chocolate Milk DM3350-700 TD 9C DS BR New!!,$145.00,TRUE,9C,8,231,https://www.ebay.com/itm/115011495565?_trkparms=ispr%3D1&hash=item1ac738268d%3Ag%3ASGwAAOSwKV1hUBfe&amdata=enc%3AAQAGAAACsPYe5NmHp%252B2JMhMi7yxGiTJkPrKr5t53CooMSQt2orsSR84A%252FGMxXIqJzFmDq6lDLqhZitX7SDUaihqqjfA92g70cImVrpAgWKW6AQgWynN5bovCl9IzZf0HzW0yGCCBXyNXWtAJqzlw2wRJ91mQ8PtffYeY4YNKsxVEGBTvMQqUCtwZyaIv9w16j0w7SniEzZoRfz3HTGcHzkWcHQltgPs%252B2NkTjwVTsowQEazeKnPZTAbUVQMnbh1kARO%252FW77IjnPDDQmEdUm8%252F2dgqmxpkXRtMj9qlb9sv4Dz8yJtNzvkxiXSxMNvLB158D6qQ4jf563pA83BHFhgtI1QOpJjZhMSkXT78gCtOn1DlJtDns8MWO8G96td3jv65XFdVss%252BQnaRWvXg3P4aSBQPgqfvzkcsvHdynnKIrgJliE5voT8%252Fp19AfI2ed1wEgaHlXmWBAxgl8OQU4KAnk%252FrGfEbp%252FFF7IRHt3Dv28HXVwbtLPJVWBmmghW9%252BjZn53OwsA3q%252F1i59L4yWXiI6MYYrF9%252F521BIT2fWiySKB1PRvy6DLDqAQ%252BIVvvSD2xUPfyvPoCxwJQmWzED2azFFH%252Be0j9ZKl80s6FjS2DJvdIJVRxa9mzbNIZ5He69OzBKG3rNpOc7MqW%252BvJCLthH8X6m8878ju0fqcZPO8j%252F2jeToKCIlzRfmcJ3NnopJr%252Fc5asmGei73H0VMv42n6UtI00xtmbx8Uw9KKaIHVEIrtbelIXDIlSgPvSPuGwHl9lgT6KfRqNVtxbtVU1mlIgr2TuHYponKvHnkJYN%252BS6x4Z%252FdpNC6oJBXI%252FwPW%252FPPbDrd8c0D%252BSNqoxPTToWJzb7PmhVJnn4boXAPzEr9GVhgD905tIPaPL%252BRQm7xalyHUgPMNOkwiifLopW5U47xO8f37UYwqFr%252BCsWL4%253D%7Cclp%3A2334524%7Ctkp%3ABFBM0I31-Zhf&LH_ItemCondition=1000
Nike Free Lunch Dunk Chocolate Milk Size 10 Social Status,$205.00,FALSE,10,12,171,https://www.ebay.com/itm/133913720479?epid=17050254163&hash=item1f2de1369f%3Ag%3Ay1kAAOSwUkVhdfn2&LH_ItemCondition=1000
Nike Dunk Mid x Social Status Free Lunch Chocolate Milk size 8.5 IN HAND!!!,$219.99,FALSE,8.5,3,135,https://www.ebay.com/itm/133904768997?hash=item1f2d589fe5%3Ag%3AYSAAAOSwhT5hS27Z&LH_ItemCondition=1000
DEADSTOCK Social Status x Nike Free Lunch Chocolate Milk Dunk Mid Size 11,$250.00,FALSE,11,8,10,https://www.ebay.com/itm/284504543815?hash=item423dcad247%3Ag%3A%7E6UAAOSwROlheEQN&LH_ItemCondition=1000
Nike Dunk Mid x Social Status Free Lunch ‘Chocolate Milk' 12M,$260.00,FALSE,12,5,69,https://www.ebay.com/itm/275000604843?epid=6050266072&hash=item40075038ab%3Ag%3A6jsAAOSwM3Zhdsq5&LH_ItemCondition=1000
Social Status Dunk Size 8 Free Lunch Chocolate Milk,$235.00,TRUE,8,1,2,https://www.ebay.com/itm/403249491615?hash=item5de38aee9f%3Ag%3AfUsAAOSwpI1hc0VA&LH_ItemCondition=1000
"SOCIAL STATUS X NIKE FREE LUNCH DUNK MID ""CHOCOLATE MILK"" DJ1173-700 SZ 9.5 SB",$239.99,TRUE,9.5,2,428,https://www.ebay.com/itm/393651341458?epid=5050263488&hash=item5ba772c892%3Ag%3AhhcAAOSwDUxheJC3&LH_ItemCondition=1000
